Gene,Protein class
RHBDL1,"Enzymes, Predicted membrane proteins"
RHBDL2,"Enzymes, Predicted membrane proteins"
RHBDL3,"Enzymes, Predicted membrane proteins"
RHBG,"Predicted membrane proteins, Transporters"
RHCE,"Blood group antigen proteins, CD markers, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
RHCG,"Predicted membrane proteins, Transporters"
RHD,"Blood group antigen proteins, CD markers, Predicted membrane proteins, Transporters"
RHEB,"Cancer-related genes, Predicted intracellular proteins"
RHEBL1,Predicted intracellular proteins
RHEX,Predicted membrane proteins
RHNO1,Predicted intracellular proteins
RHO,"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins, Transporters"
RHOA,"Cancer-related genes, Predicted intracellular proteins, RAS pathway related proteins"
RHOB,"Cancer-related genes, Predicted intracellular proteins"
RHOBTB1,Predicted intracellular proteins
RHOBTB2,Predicted intracellular proteins
RHOBTB3,Predicted intracellular proteins
RHOC,"Cancer-related genes, Predicted intracellular proteins"
RHOD,Predicted intracellular proteins
RHOF,"Plasma proteins, Predicted intracellular proteins"
RHOG,"Plasma proteins, Predicted intracellular proteins"
RHOH,"Cancer-related genes, Disease related genes, Predicted intracellular proteins"
RHOJ,Predicted intracellular proteins
RHOQ,Predicted intracellular proteins
RHOT1,"Predicted intracellular proteins, Predicted membrane proteins"
RHOT2,"Predicted intracellular proteins, Predicted membrane proteins"
RHOU,Predicted intracellular proteins
RHOV,Predicted intracellular proteins
RHOXF1,"Predicted intracellular proteins, Transcription factors"
RHOXF2,"Predicted intracellular proteins, Transcription factors"
RHOXF2B,"Predicted intracellular proteins, Transcription factors"
RHPN1,"Plasma proteins, Predicted intracellular proteins"
RHPN2,Predicted intracellular proteins
RIBC1,Predicted intracellular proteins
RIC1,"Predicted intracellular proteins, Predicted membrane proteins"
RIC3,"Predicted intracellular proteins, Predicted membrane proteins, Transporters"
RIC8A,Predicted intracellular proteins
RIC8B,Predicted intracellular proteins
RICTOR,Predicted intracellular proteins
RIDA,"Enzymes, Plasma proteins, Predicted intracellular proteins"
RIF1,Predicted intracellular proteins
RIIAD1,Predicted intracellular proteins
RILP,Predicted intracellular proteins
RILPL1,Predicted intracellular proteins
RILPL2,Predicted intracellular proteins
RIMBP2,Predicted intracellular proteins
RIMBP3,Predicted intracellular proteins
RIMBP3B,Predicted intracellular proteins
RIMBP3C,Predicted intracellular proteins
RIMKLA,"Enzymes, Predicted intracellular proteins"
RIMKLB,"Enzymes, Predicted intracellular proteins"
RIMS1,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
RIMS2,Predicted intracellular proteins
RIMS3,Predicted intracellular proteins
RIMS4,Predicted intracellular proteins
RIN1,"Predicted intracellular proteins, RAS pathway related proteins"
RIN2,"Disease related genes, Predicted intracellular proteins"
RIN3,Predicted intracellular proteins
RING1,"Enzymes, Predicted intracellular proteins"
RINL,Predicted intracellular proteins
RINT1,Predicted intracellular proteins
RIOK1,"Enzymes, Predicted intracellular proteins"
RIOK2,"Enzymes, Plasma proteins, Predicted intracellular proteins"
RIOK3,"Enzymes, Predicted intracellular proteins"
RIOX1,"Enzymes, Predicted intracellular proteins"
RIOX2,Predicted intracellular proteins
RIPK1,"Enzymes, Predicted intracellular proteins"
RIPK2,"Enzymes, Predicted intracellular proteins"
RIPK3,"Enzymes, Predicted intracellular proteins"
RIPK4,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
RIPOR1,Predicted intracellular proteins
RIPOR2,"Disease related genes, Predicted intracellular proteins"
RIPOR3,Predicted intracellular proteins
RIPPLY1,Predicted intracellular proteins
RIPPLY2,"Disease related genes, Predicted intracellular proteins"
RIPPLY3,Predicted intracellular proteins
RIT1,"Cancer-related genes, Disease related genes, Predicted intracellular proteins"
RIT2,Predicted intracellular proteins
RITA1,Predicted intracellular proteins
RLBP1,"Disease related genes, Predicted intracellular proteins"
RLF,"Plasma proteins, Predicted intracellular proteins, Transcription factors"
RLIM,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
RLN1,"Plasma proteins, Predicted secreted proteins"
RLN2,"Predicted intracellular proteins, Predicted secreted proteins"
RLN3,Predicted secreted proteins
RMC1,"Cancer-related genes, Predicted intracellular proteins"
RMDN1,Predicted intracellular proteins
RMDN2,"Predicted intracellular proteins, Predicted membrane proteins"
RMDN3,"Predicted intracellular proteins, Predicted membrane proteins"
RMI1,Predicted intracellular proteins
RMI2,"Cancer-related genes, Disease related genes, Predicted intracellular proteins"
RMND1,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"
RMND5A,Predicted intracellular proteins
RMND5B,Predicted intracellular proteins
RNASE1,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
RNASE10,"Predicted intracellular proteins, Predicted secreted proteins"
RNASE11,Predicted secreted proteins
RNASE12,Predicted secreted proteins
RNASE13,Predicted secreted proteins
RNASE2,"Enzymes, Plasma proteins, Predicted secreted proteins"
RNASE3,Predicted secreted proteins
RNASE4,"Plasma proteins, Predicted secreted proteins"
RNASE6,Predicted secreted proteins
RNASE7,Predicted secreted proteins
RNASE8,Predicted secreted proteins
RNASE9,Predicted secreted proteins
RNASEH1,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
RNASEH2A,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
RNASEH2B,"Disease related genes, Predicted intracellular proteins"
RNASEH2C,"Disease related genes, Predicted intracellular proteins"
RNASEK,"Predicted intracellular proteins, Predicted membrane proteins, Transporters"
RNASEL,"Enzymes, Plasma proteins, Predicted intracellular proteins"
RNASET2,"Disease related genes, Predicted intracellular proteins, Predicted secreted proteins"
RND1,Predicted intracellular proteins
RND2,Predicted intracellular proteins
RND3,Predicted intracellular proteins
RNF10,Predicted intracellular proteins
RNF103,"Enzymes, Predicted membrane proteins"
RNF11,Predicted intracellular proteins
RNF111,"Enzymes, Predicted intracellular proteins"
RNF112,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
RNF113A,"Disease related genes, Predicted intracellular proteins"
RNF113B,Predicted intracellular proteins
RNF114,"Enzymes, Predicted intracellular proteins"
RNF115,"Enzymes, Predicted intracellular proteins"
RNF121,Predicted membrane proteins
RNF122,Predicted membrane proteins
RNF123,"Enzymes, Predicted intracellular proteins"
RNF125,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
RNF126,"Enzymes, Predicted intracellular proteins"
RNF128,"Enzymes, Predicted membrane proteins"
RNF13,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
RNF130,"Enzymes, Predicted membrane proteins"
RNF133,"Enzymes, Predicted membrane proteins"
RNF135,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
RNF138,"Enzymes, Predicted intracellular proteins"
RNF139,"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
RNF14,"Enzymes, Plasma proteins, Predicted intracellular proteins"
RNF141,Predicted intracellular proteins
RNF144A,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
RNF144B,"Enzymes, Predicted membrane proteins"
RNF145,"Enzymes, Predicted membrane proteins"
RNF146,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
RNF148,"Predicted intracellular proteins, Predicted membrane proteins"
RNF149,"Enzymes, Predicted membrane proteins"
RNF150,"Predicted intracellular proteins, Predicted membrane proteins"
RNF151,Predicted intracellular proteins
RNF152,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
RNF157,"Enzymes, Predicted intracellular proteins"
RNF165,"Enzymes, Predicted intracellular proteins"
RNF166,Predicted intracellular proteins
RNF167,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
RNF168,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
RNF169,"Enzymes, Predicted intracellular proteins"
RNF17,Predicted intracellular proteins
RNF170,"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
RNF175,Predicted membrane proteins
RNF180,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
RNF181,"Enzymes, Predicted intracellular proteins"
RNF182,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
RNF183,"Enzymes, Predicted membrane proteins"
RNF185,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
RNF186,Predicted membrane proteins
RNF187,"Enzymes, Predicted intracellular proteins"
RNF19A,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
RNF19B,"Enzymes, Predicted membrane proteins"
RNF2,"Enzymes, Predicted intracellular proteins"
RNF20,"Enzymes, Predicted intracellular proteins"
RNF207,Predicted intracellular proteins
RNF208,Predicted intracellular proteins
RNF212,Predicted intracellular proteins
RNF212B,Predicted intracellular proteins
RNF213,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
RNF214,Predicted intracellular proteins
RNF215,"Predicted intracellular proteins, Predicted membrane proteins"
RNF216,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
RNF217,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
RNF219,Predicted intracellular proteins
RNF220,"Enzymes, Predicted intracellular proteins"
RNF222,Predicted membrane proteins
RNF223,Predicted membrane proteins
RNF224,Predicted intracellular proteins
RNF225,Predicted membrane proteins
RNF227,Predicted intracellular proteins
RNF24,Predicted membrane proteins
RNF25,"Enzymes, Predicted intracellular proteins"
RNF26,"Enzymes, Predicted membrane proteins"
RNF31,"Enzymes, Predicted intracellular proteins"
RNF32,Predicted intracellular proteins
RNF34,"Enzymes, Predicted intracellular proteins"
RNF38,"Enzymes, Predicted intracellular proteins"
RNF39,Predicted intracellular proteins
RNF4,"Enzymes, Predicted intracellular proteins"
RNF40,"Enzymes, Predicted intracellular proteins"
RNF41,"Enzymes, Predicted intracellular proteins"
RNF43,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
RNF44,Predicted intracellular proteins
RNF5,"Enzymes, Predicted membrane proteins"
RNF6,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
RNF7,Predicted intracellular proteins
RNF8,"Enzymes, Predicted intracellular proteins"
RNFT1,"Enzymes, Predicted membrane proteins"
RNFT2,Predicted membrane proteins
RNGTT,"Enzymes, Plasma proteins, Predicted intracellular proteins"
RNH1,"Plasma proteins, Predicted intracellular proteins"
RNLS,"Enzymes, Predicted secreted proteins"
RNMT,"Enzymes, Predicted intracellular proteins"
RNPC3,Predicted intracellular proteins
RNPEP,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
RNPEPL1,"Enzymes, Predicted intracellular proteins"
RNPS1,"Predicted intracellular proteins, Transporters"
ROBO1,"Predicted intracellular proteins, Predicted membrane proteins"
ROBO2,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
ROBO3,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
ROBO4,"Plasma proteins, Predicted membrane proteins"
ROCK1,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
ROCK2,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
ROGDI,"Disease related genes, Predicted intracellular proteins"
ROM1,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
ROMO1,"Predicted intracellular proteins, Transporters"
ROPN1,Predicted intracellular proteins
ROPN1B,Predicted intracellular proteins
ROPN1L,Predicted intracellular proteins
ROR1,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
