Gene,Protein class
ADRA1D,"FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins"
ADRA2A,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"
ADRA2B,"Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"
ADRA2C,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"
ADRB1,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters"
ADRB2,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters"
ADRB3,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"
ADRM1,Predicted intracellular proteins
ADSL,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ADSS,"Enzymes, Plasma proteins, Predicted intracellular proteins"
ADSSL1,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ADTRP,Predicted membrane proteins
AEBP1,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins"
AEBP2,"Predicted intracellular proteins, Transcription factors"
AEN,Predicted intracellular proteins
AES,Predicted intracellular proteins
AFAP1,Predicted intracellular proteins
AFAP1L1,Predicted intracellular proteins
AFAP1L2,Predicted intracellular proteins
AFDN,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"
AFF1,"Cancer-related genes, Disease related genes, Predicted intracellular proteins"
AFF2,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
