Gene Name,GenBank Gene ID,Drug IDs
PPARG,U79012,DB00132; DB00159; DB00197; DB00244; DB00313; DB00328; DB00412; DB00573; DB00731; DB00795; DB00845; DB00912; DB00966; DB01014; DB01050; DB01067; DB01118; DB01132; DB01393; DB02266; DB03756; DB04224; DB08604; DB09061; DB09213; DB11133; DB11672; DB13873; DB13961
F10,K03194,DB00025; DB00036; DB00100; DB00569; DB01109; DB01225; DB06228; DB06605; DB09075; DB09109; DB09141; DB09258; DB09332; DB11166; DB12364; DB13149; DB13150; DB13151; DB13152; DB13192; DB13884; DB13923; DB13933; DB13998; DB13999; DB14738
GABBR1,AJ225028,DB00181; DB01956; DB02530
ATP2C1,AF181120,DB00228; DB00753; DB01028; DB01236
ASNS,M27396,DB00128; DB00142; DB00174
NQO2,J02888,DB00157; DB00170; DB01065; DB01087; DB03147
ACE,J04144,DB00178; DB00492; DB00519; DB00542; DB00584; DB00691; DB00722; DB00790; DB00881; DB01180; DB01197; DB01340; DB01348; DB09477; DB13166
VARS,X59303,DB00161
NDUFA1,X81900,DB00157
PYCR1,M77836,DB00157
ADH1A,M12271,DB00157; DB01213
WARS,M77804,DB00150
FXYD2,U50743,DB00606; DB11590
YARS,U40714,DB00135
ALDH6A1,AJ249994,DB00157
MTTP,X75500,DB08827
ERG11,X13296,DB00196; DB00239; DB00251; DB00257; DB00582; DB01007; DB01110; DB01127; DB01153; DB01263; DB04794; DB08933
TARS,M63180,DB00156
SLC25A12,Y14494,DB00128
SLC1A5,U53347,DB00174; DB13146
TCN1,J05068,DB00200
LPL,M15856,DB06439; DB09568; DB13751
SERPINE1,X04429,DB00009; DB00013; DB00015; DB00029; DB00031; DB00055; DB00197; DB09130
ADORA2B,M97759,DB00201; DB00277; DB00640; DB00824; DB04932
FDX1,M23668,DB00648
NDUFB5,AF047181,DB00157
ALDH4A1,U24267,DB00157
NDUFB10,AF044954,DB00157
BCL2,M13994,DB01050; DB01229; DB01248; DB01367; DB06756; DB08871; DB09213; DB09401; DB11581
CHRM5,M80333,DB00246; DB00342; DB00363; DB00376; DB00408; DB00458; DB00483; DB00496; DB00572; DB00622; DB00725; DB00747; DB00835; DB00934; DB00940; DB01036; DB01069; DB01142; DB01151; DB01224; DB01238; DB01239; DB01403; DB01409; DB01591; DB06702; DB08897; DB09076; DB09167; DB11181; DB11235; DB12278; DB14185
ALOX5,J03600,DB00163; DB00179; DB00233; DB00244; DB00471; DB00711; DB00744; DB00795; DB00939; DB01014; DB01017; DB11994; DB12010; DB14001; DB14002
SLC6A1,X54673,DB00906
PNP,X00737,DB00242; DB00900
TYR,M27160,DB00157; DB00548; DB00600; DB09526; DB11217; DB11254
ABAT,L32961,DB00114; DB00119; DB00142; DB00780; DB01080
PRKAB1,AJ224515,DB00131; DB00331
SEC14L2,AL096881,DB00163; DB14001; DB14002
rpoB,V00339,DB00615; DB01045; DB01220; DB11753
SLC25A2,AF332005,DB00129
B4GALT1,X14085,DB00141
HADHA,D16480,DB00157
PTGS2,L15326,DB00159; DB00233; DB00244; DB00316; DB00328; DB00461; DB00465; DB00469; DB00480; DB00482; DB00500; DB00533; DB00554; DB00573; DB00580; DB00586; DB00605; DB00712; DB00749; DB00784; DB00788; DB00795; DB00812; DB00814; DB00821; DB00861; DB00870; DB00936; DB00939; DB00945; DB00963; DB00991; DB01009; DB01014; DB01041; DB01050; DB01283; DB01399; DB01401; DB01404; DB01419; DB01435; DB01600; DB01628; DB02266; DB04743; DB06725; DB06736; DB06802; DB08439; DB08910; DB09061; DB09212; DB09213; DB09214; DB09216; DB11071; DB11079; DB11201; DB11323; DB11327; DB13167; DB13346; DB13501; DB13783; DB13961
NOS3,M93718,DB00360; DB01110; DB09237
ACVR1,L02911,DB12010
MME,X07166,DB09292
CA1,X05014,DB00273; DB00310; DB00381; DB00423; DB00436; DB00562; DB00606; DB00703; DB00774; DB00819; DB00869; DB00880; DB00909; DB01021; DB01031; DB01119; DB01144; DB01194; DB01325; DB09460; DB09472
MTHFD2,X16396,DB00157
ADCY1,AC069008,DB00131; DB09121
REN,L00073,DB00350; DB00722; DB09026
FOLR2,X69516,DB00158
MT-ND4L,J01415,DB00157
CCBL1,X82224,DB00114
CD3E,X03884,DB00075; DB06607
SLC12A7,AF105365,DB00761
SLC25A13,AJ496569,DB00128
PDXP,AY125047,DB00114
rpsL,V00355,DB00452; DB00479; DB00560; DB00684; DB00798; DB00919; DB00955; DB00994; DB01082; DB01172; DB03615
SERPINC1,M21642,DB00407; DB00569; DB01109; DB01225; DB06271; DB06754; DB06779; DB06822; DB08813; DB09130; DB09141; DB09258; DB11598
SLC12A2,U30246,DB00214; DB00761; DB00887; DB01325
PB1,M25932,DB00811
TUB2,M19398,DB00400
NDUFB3,AF047183,DB00157
ARG1,M14502,DB00129; DB03904; DB06757
ALDH9A1,U34252,DB00157
ADRA2A,M23533,DB00246; DB00248; DB00320; DB00321; DB00363; DB00368; DB00370; DB00408; DB00413; DB00449; DB00457; DB00484; DB00502; DB00543; DB00555; DB00575; DB00589; DB00629; DB00633; DB00656; DB00668; DB00692; DB00696; DB00714; DB00726; DB00751; DB00797; DB00800; DB00852; DB00865; DB00925; DB00935; DB00964; DB00968; DB01018; DB01136; DB01149; DB01200; DB01224; DB01238; DB01267; DB01392; DB01403; DB01577; DB01608; DB01624; DB04846; DB04855; DB04948; DB06148; DB06153; DB06216; DB06262; DB06694; DB06711; DB08815; DB09242; DB11124; DB11278; DB11738; DB14185
SIGMAR1,AL450283,DB00514; DB00704
HTR1A,M28269,DB00216; DB00246; DB00247; DB00248; DB00315; DB00321; DB00363; DB00408; DB00413; DB00422; DB00458; DB00477; DB00490; DB00502; DB00540; DB00543; DB00571; DB00574; DB00589; DB00656; DB00669; DB00696; DB00714; DB00726; DB00734; DB00904; DB00952; DB00960; DB00988; DB01142; DB01149; DB01151; DB01175; DB01186; DB01200; DB01224; DB01238; DB01267; DB01359; DB01392; DB01616; DB01618; DB01621; DB04908; DB04946; DB04948; DB05271; DB06016; DB06148; DB06153; DB06216; DB06684; DB08815; DB09061; DB09068; DB09128; DB09167; DB14185
SHMT2,U23143,DB00114; DB00145
AVPR2,U04357,DB00035; DB00067; DB00618; DB00872; DB02638; DB06212; DB09059; DB14642
NDUFB4,AF044957,DB00157
PTGDR,U31332,DB00716
LDHAL6A,AY581313,DB00157
gor,M13141,DB00336; DB03147
SORD,U07361,DB00157
RBP1,M11433,DB00459
blaZ,X04121,DB09324
CACNB1,M92303,DB00308; DB00381; DB00393; DB00898; DB04855
MAT2A,X68836,DB00118
NDUFA9,AF050641,DB00157; DB03147
OTC,K02100,DB00129
NDUFS7,AC005329,DB00157
,X14112,DB00194; DB00299; DB00426; DB00529; DB00577; DB00787; DB01004; DB13896
HTR3A,D49394,DB00333; DB00334; DB00363; DB00377; DB00408; DB00543; DB00555; DB00604; DB00721; DB00726; DB00728; DB00757; DB00889; DB00898; DB00904; DB00969; DB00988; DB01043; DB01156; DB01199; DB01221; DB01224; DB01233; DB01238; DB06204; DB09061; DB09068; DB11699; DB14185
P,M32138,DB00300; DB00718
NDUFC1,AF047184,DB00157
RBP4,X00129,DB00755
THRB,X04707,DB00279; DB00451; DB00509; DB01583; DB09100
AGXT,X56092,DB00114; DB00145
HSD17B10,U96132,DB00157; DB09568
SCTR,U20178,DB09532
NDUFA4L2,AF164796,DB00157
MMAA,AF524846,DB00115; DB00200
GMPS,U10860,DB00142
CA2,M77181,DB00273; DB00391; DB00436; DB00482; DB00562; DB00580; DB00606; DB00695; DB00703; DB00774; DB00819; DB00869; DB00880; DB00909; DB01021; DB01031; DB01119; DB01144; DB01194; DB01325; DB03904; DB08329; DB09460; DB09472
CBS,L19501,DB00114; DB00118; DB00151
TYMS,X02308,DB00293; DB00322; DB00432; DB00441; DB00544; DB00563; DB00642; DB01101; DB06813; DB09256; DB09327
RRM1,X59543,DB00242; DB00441; DB00631; DB01005; DB01073
FGF4,J02986,DB00686; DB01109
MTNR1B,U25341,DB00980; DB01065; DB06594; DB09071
ME3,X79440,DB00157
HSD11B1,M76665,DB00157; DB13751
DHFR,J00140,DB00157; DB00205; DB00563; DB00642; DB00798; DB01131; DB01157; DB06813
SHMT1,L11931,DB00114; DB00145
inhA,,DB00609; DB00951; DB05154; DB08604
F7,M13232,DB00036; DB00100; DB09332; DB13151; DB13152; DB13933
ureC,M36068,DB00551
MT-CO1,V00662,DB02659; DB09140
HSD17B3,U05659,DB00157
TTR,K02091,DB01593; DB09130; DB11644; DB14487; DB14533; DB14548
NDUFB1,AF050638,DB00157
SEC14L3,AY158086,DB00163; DB14001; DB14002
AMN,AF328788,DB00200
ADRA2C,J03853,DB00246; DB00248; DB00363; DB00368; DB00408; DB00484; DB00502; DB00575; DB00589; DB00696; DB00714; DB00734; DB00797; DB00800; DB00925; DB00935; DB01136; DB01200; DB01224; DB01238; DB01267; DB01392; DB01403; DB01577; DB04846; DB04855; DB04946; DB06148; DB06153; DB06216; DB06262; DB06694; DB08815; DB09128; DB11124; DB14185
UL54,X17403,DB00369; DB00529
CYP17A1,M14564,DB00157; DB00396; DB00421; DB01026; DB05812; DB09061
PRLR,M31661,DB00052
GRIK1,L19058,DB00142; DB00237
GATM,S68805,DB00129; DB00145; DB02530
MT-ND6,J01415,DB00157
ATP4A,J05451,DB00213; DB00338; DB00448; DB00736; DB01129; DB05351
ACSS2,AF263614,DB00131
AOC1,M55602,DB00594
ASIC1,U78180,DB00594
ADORA3,L20463,DB00201; DB00640; DB00824; DB01223; DB12010
CACNA1A,AF004884,DB00661; DB00836; DB01244; DB06283
H6PD,AJ012590,DB00157
ALK,U62540,DB08865; DB09063; DB11363; DB12010; DB12130; DB12141; DB12267
ADH4,M15943,DB00157
SLC16A8,AF132610,DB00119
YARS2,AF132939,DB00135
F9,K02402,DB00025; DB00170; DB09109; DB09332; DB13150; DB13192; DB13923; DB13998; DB13999; DB14738
GRIN1,D13515,DB00142; DB00454; DB01043; DB01173; DB03929; DB06151
gyrA,L42023,DB00218; DB00365; DB00467; DB00487; DB00537; DB00685; DB00827; DB00978; DB01059; DB01137; DB01155; DB01165; DB01208; DB06771; DB09047; DB12924
NDUFA8,AF044953,DB00157
PTGER2,U19487,DB00770; DB00917; DB00929; DB08964
KDR,AF035121,DB00398; DB01268; DB05578; DB06589; DB06595; DB06626; DB08875; DB08896; DB08901; DB09078; DB09079; DB12010; DB12147; DB14840; DB15822
RFK,AK002011,DB00140; DB03247
OAZ1,U09202,DB00129
GNMT,AF101477,DB00118; DB00145
CROT,AF168793,DB00583
PPAT,D13757,DB00130; DB01033; DB01254
SLC6A8,L31409,DB00148
NDUFB6,AF035840,DB00157
HADH,X96752,DB00157; DB09568
GAD1,M81883,DB00114; DB00142
CAMLG,U18242,DB00091
PROC,M11228,DB00170; DB00464; DB09131; DB09332; DB13149
GABRA2,S62907,DB00241; DB00306; DB00312; DB00371; DB00402; DB00418; DB00425; DB00599; DB00794; DB00849; DB00898; DB01198; DB01346; DB01351; DB01353
DHODH,M94065,DB01097; DB01117; DB03247; DB08880
GOT2,M22632,DB00114; DB00128; DB00142; DB00151
TACR1,S62045,DB00193; DB00673; DB01221; DB09048; DB09291; DB14019
IFNAR2,L42243,DB00008; DB00011; DB00018; DB00022; DB00034; DB00060; DB00068; DB00069; DB00105; DB06152
SLC16A5,U59299,DB00119
FSHR,M65085,DB00032; DB00066; DB00094; DB00097; DB09066
SRR,AF169974,DB00114
DRD4,L12398,DB00246; DB00248; DB00268; DB00334; DB00363; DB00408; DB00409; DB00413; DB00477; DB00490; DB00543; DB00589; DB00714; DB00988; DB01186; DB01200; DB01224; DB01235; DB01238; DB01267; DB01403; DB04908; DB04946; DB05271; DB06216; DB14185
SNAP25,L19760,DB00083
NAGLU,U43572,DB00141
KYNU,U57721,DB00114
