"","Hugo.Symbol","Entrez.Gene.ID","GRCh37.Isoform","GRCh37.RefSeq","GRCh38.Isoform","GRCh38.RefSeq","X..of.occurrence.within.resources..Column.D.J.","OncoKB.Annotated","Is.Oncogene","Is.Tumor.Suppressor.Gene","MSK.IMPACT","MSK.HEME","FOUNDATION.ONE","FOUNDATION.ONE.HEME","Vogelstein","SANGER.CGC.05.30.2017.","Oncogene_TSG"
"362","TCF7L2",6934,"ENST00000543371","NM_001146274.1","ENST00000627217","NM_001146274.1",4,"Yes","No","Yes","Yes","Yes","No","No","No","Yes","TSG"
"363","TEK",7010,"ENST00000380036","NM_000459.3","ENST00000380036","NM_000459.3",4,"Yes","No","No","Yes","Yes","Yes","No","No","No","Unkown"
"364","TMEM127",55654,"ENST00000258439","NM_001193304.2","ENST00000258439","NM_001193304.2",4,"Yes","No","Yes","Yes","Yes","No","No","No","Yes","TSG"
"365","TRAF2",7186,"ENST00000247668","NM_021138.3","ENST00000247668","NM_021138.3",4,"Yes","No","No","Yes","Yes","No","Yes","No","No","Unkown"
"366","VEGFA",7422,"ENST00000523873","NM_001171623.1","ENST00000523873","NM_001171623.1",4,"Yes","Yes","No","Yes","Yes","Yes","No","No","No","Oncogene"
"367","WWTR1",25937,"ENST00000360632","NM_001168280.1","ENST00000360632","NM_001168280.1",4,"Yes","Yes","No","Yes","Yes","No","No","No","Yes","Oncogene"
"368","XRCC2",7516,"ENST00000359321","NM_005431.1","ENST00000359321","NM_005431.1",4,"Yes","No","Yes","Yes","Yes","Yes","No","No","No","TSG"
"369","ZFHX3",463,"ENST00000268489","NM_006885.3","ENST00000268489","NM_006885.3",4,"Yes","No","Yes","Yes","Yes","No","No","No","Yes","TSG"
"370","ABL2",27,"ENST00000502732","NM_007314.3","ENST00000502732","NM_007314.3",3,"Yes","Yes","No","No","No","No","Yes","No","Yes","Oncogene"
"371","ABRAXAS1",84142,"ENST00000321945","NM_139076.2","ENST00000321945","NM_139076.2",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"372","AGO2",27161,"ENST00000220592","NM_012154.3","ENST00000220592","NM_012154.3",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"373","ANKRD11",29123,"ENST00000301030","NM_013275.5","ENST00000301030","NM_013275.5",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"374","ARID5B",84159,"ENST00000279873","NM_032199.2","ENST00000279873","NM_032199.2",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"375","ASXL2",55252,"ENST00000435504","NM_018263.4","ENST00000435504","NM_018263.4",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"376","ATF1",466,"ENST00000262053","NM_005171.4","ENST00000262053","NM_005171.4",3,"Yes","Yes","No","No","No","No","Yes","No","Yes","Oncogene"
"377","BABAM1",29086,"ENST00000359435","NM_001033549.1","ENST00000359435","NM_001033549.1",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"378","BBC3",27113,"ENST00000449228","NM_001127240.2","ENST00000449228","NM_001127240.2",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"379","BCL2L11",10018,"ENST00000393256","NM_138621.4","ENST00000393256","NM_138621.4",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"380","BCL9",607,"ENST00000234739","NM_004326.3","ENST00000234739","NM_004326.3",3,"Yes","Yes","No","No","No","No","Yes","No","Yes","Oncogene"
"381","CARM1",10498,"ENST00000327064","NM_199141.1","ENST00000327064","NM_199141.1",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"382","CCNQ",92002,"ENST00000576892","NM_152274.4","ENST00000576892","NM_152274.4",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"383","CD276",80381,"ENST00000318443","NM_001024736.1","ENST00000318443","NM_001024736.1",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"384","CD58",965,"ENST00000369489","NM_001779.2","ENST00000369489","NM_001779.2",3,"Yes","No","Yes","No","Yes","No","Yes","No","No","TSG"
"385","CDC42",998,"ENST00000344548","NM_001791.3","ENST00000344548","NM_001791.3",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"386","CENPA",1058,"ENST00000335756","NM_001809.3","ENST00000335756","NM_001809.3",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"387","COP1",64326,"ENST00000367669","NM_022457.5","ENST00000367669","NM_022457.5",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"388","CSDE1",7812,"ENST00000438362","NM_001242891.1","ENST00000438362","NM_001242891.1",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"389","CTLA4",1493,"ENST00000302823","NM_005214.4","ENST00000648405","NM_005214.4",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"390","CYSLTR2",57105,"ENST00000282018","NM_020377.2","ENST00000282018","NM_020377.2",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"391","DCUN1D1",54165,"ENST00000292782","NM_020640.2","ENST00000292782","NM_020640.2",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"392","DDIT3",1649,"ENST00000346473","NM_001195057.1","ENST00000346473","NM_001195057.1",3,"Yes","No","No","No","No","No","Yes","No","Yes","Unkown"
"393","DEK",7913,"ENST00000397239","NM_003472.3","ENST00000652689","NM_003472.3",3,"Yes","Yes","No","No","No","No","Yes","No","Yes","Oncogene"
"394","DNMT3B",1789,"ENST00000328111","NM_006892.3","ENST00000328111","NM_006892.3",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"395","DTX1",1840,"ENST00000257600","NM_004416.2","ENST00000257600","NM_004416.2",3,"Yes","No","Yes","No","Yes","No","Yes","No","No","TSG"
"396","DUSP22",56940,"ENST00000344450","NM_020185.4","ENST00000344450","NM_020185.4",3,"Yes","No","Yes","No","Yes","No","Yes","No","No","TSG"
"397","DUSP4",1846,"ENST00000240100","NM_001394.6","ENST00000240100","NM_001394.6",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"398","E2F3",1871,"ENST00000346618","NM_001949.4","ENST00000346618","NM_001949.4",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"399","EGFL7",51162,"ENST00000308874","NM_201446.2","ENST00000308874","NM_201446.2",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"400","EIF1AX",1964,"ENST00000379607","NM_001412.3","ENST00000379607","NM_001412.3",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"401","EIF4E",1977,"ENST00000280892","NM_001130678.1","ENST00000280892","NM_001130678.1",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"402","ELF3",1999,"ENST00000359651","NM_004433.4","ENST00000359651","NM_004433.4",3,"Yes","Yes","Yes","Yes","Yes","No","No","No","No","Oncogene"
"403","ELOC",6921,"ENST00000284811","NM_005648.3","ENST00000284811","NM_005648.3",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"404","EPCAM",4072,"ENST00000263735","NM_002354.2","ENST00000263735","NM_002354.2",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"405","ERF",2077,"ENST00000222329","NM_006494.2","ENST00000222329","NM_006494.2",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"406","ETNK1",55500,"ENST00000266517","NM_018638.4","ENST00000671733","NM_018638.4",3,"Yes","No","No","No","Yes","No","No","No","Yes","Unkown"
"407","EZH1",2145,"ENST00000428826","NM_001991.3","ENST00000428826","NM_001991.3",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"408","FANCG",2189,"","","","",3,"No","No","No","No","No","Yes","Yes","No","Yes","Unkown"
"409","FANCL",55120,"ENST00000233741","NM_018062.3","ENST00000233741","NM_018062.3",3,"Yes","No","Yes","No","No","Yes","Yes","No","No","TSG"
"410","FEV",54738,"ENST00000295727","NM_017521.2","ENST00000295727","NM_017521.2",3,"Yes","No","No","No","No","No","Yes","No","Yes","Unkown"
"411","FLI1",2313,"ENST00000527786","NM_002017.4","ENST00000527786","NM_002017.4",3,"Yes","Yes","No","No","No","No","Yes","No","Yes","Oncogene"
"412","FYN",2534,"ENST00000368678","NM_153047.3","ENST00000368678","NM_153047.3",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
