gene	gene_MoA
PSMA6	ambiguous
PSMB4	ambiguous
PSMB5	ambiguous
PSMD11	LoF
PSME3	LoF
PSMG1	ambiguous
PSMG2	ambiguous
PTCH1	LoF
PTEN	LoF
PTGS1	LoF
PTPN11	Act
PTPN12	LoF
PTPRB	ambiguous
PTPRC	Act
PTPRF	Act
PTPRJ	LoF
PTPRU	Act
RAC1	Act
RAD21	LoF
RAD23B	LoF
RAD50	ambiguous
RAD51C	LoF
RAD51D	ambiguous
RAD51L3-RFFL	ambiguous
RAD54B	ambiguous
RAD54L	ambiguous
RAF1	Act
RASA1	LoF
RASA2	LoF
RASGRP1	ambiguous
RB1	LoF
RBBP7	Act
RBBP8	LoF
RBM10	LoF
RBM5	LoF
RBX1	LoF
RECQL4	LoF
RET	Act
RFC4	Act
RGS3	ambiguous
RHEB	Act
RHOA	Act
RHOT1	ambiguous
RNF43	LoF
RNF6	LoF
ROS1	Act
RP11-286N22.8	ambiguous
RPGR	LoF
RPL10	LoF
RPL22	Act
RPL5	LoF
RPSAP58	Act
RQCD1	ambiguous
RRAS2	Act
RTN4	LoF
RUNX1	ambiguous
RUNX3	LoF
SBDS	LoF
SCAI	Act
SDHA	LoF
SDHAF2	LoF
SDHB	LoF
SDHC	LoF
SDHD	LoF
SEC24D	LoF
SEC31A	LoF
SETBP1	Act
SETD2	LoF
SETDB1	Act
SF3A3	LoF
SF3B1	Act
SF3B3	ambiguous
SFPQ	Act
SGK1	ambiguous
SH2B3	ambiguous
SHMT1	ambiguous
SIN3A	Act
SLC22A18	LoF
SMAD2	LoF
SMAD3	LoF
SMAD4	LoF
SMARCA1	LoF
SMARCA4	LoF
SMARCB1	LoF
SMARCD1	ambiguous
SMARCE1	ambiguous
SMC1A	Act
SMO	Act
SMURF2	ambiguous
SOCS1	LoF
SOS1	Act
SOS2	Act
SOX17	Act
SOX9	LoF
SPEN	ambiguous
SPOP	Act
SPRR3	Act
SPTAN1	LoF
SRC	Act
SRGAP1	Act
SRGAP3	Act
SRSF2	Act
STAG1	Act
STAG2	LoF
STARD13	Act
STAT3	ambiguous
STAT5B	ambiguous
STAT6	Act
STIP1	LoF
STK11	LoF
STK4	ambiguous
SUFU	LoF
SUV39H1	ambiguous
SUZ12	Act
SVEP1	ambiguous
SYK	Act
SYNCRIP	ambiguous
TAF1	Act
TAOK1	ambiguous
TAOK2	Act
TBL1XR1	LoF
TBX3	LoF
TCF12	Act
TCF4	Act
TCF7L2	Act
TET2	LoF
TFDP1	Act
TFDP2	LoF
TGFBR1	ambiguous
TGFBR2	LoF
THRAP3	Act
TJP1	LoF
TJP2	Act
TMEM127	LoF
TNFAIP3	LoF
TNFRSF14	LoF
TNFSF10	ambiguous
TNPO1	ambiguous
TNPO2	ambiguous
TOM1	LoF
TP53	LoF
TP53BP1	LoF
TPMT	ambiguous
TRAF3	LoF
TRAF5	LoF
TRAF7	LoF
TRERF1	Act
TRIO	Act
TRIP10	Act
TRRAP	ambiguous
TSC1	LoF
TSC2	LoF
TSHR	Act
TXNIP	Act
U2AF1	Act
UBC	ambiguous
UBR5	ambiguous
UGT1A1	ambiguous
UPF3B	LoF
USP6	Act
VHL	LoF
VIM	ambiguous
WAS	LoF
WASF3	ambiguous
WHSC1	Act
WHSC1L1	Act
WIPF1	Act
WNK1	ambiguous
WNT5A	Act
WRAP53	ambiguous
WRN	LoF
WT1	LoF
WWOX	LoF
XPA	LoF
XPC	LoF
XPO1	Act
XRCC2	ambiguous
XRN1	LoF
YBX1	Act
